epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.843514,0.123176,2.977383,0.083673,0.00151545
2,2.309629,0.297140,2.885206,0.093878,0.00244798
3,3.084328,0.361354,2.727050,0.126531,0.00150000
4,3.109562,0.449504,2.516809,0.195918,0.00150000
5,2.394427,0.505546,2.307004,0.265306,0.00150000
6,2.243408,0.568009,2.090618,0.381633,0.00150000
7,1.912984,0.638646,1.907271,0.463265,0.00150000
8,1.887666,0.658494,1.740126,0.561224,0.00150000
9,1.669535,0.698190,1.605743,0.628571,0.00150000
10,1.602461,0.734968,1.490351,0.677551,0.00150000
11,1.529978,0.771162,1.406773,0.714286,0.00150000
12,1.439698,0.795096,1.338013,0.730612,0.00150000
13,1.297751,0.826620,1.279939,0.734694,0.00150000
14,1.241884,0.835377,1.238144,0.748980,0.00150000
15,1.263590,0.836544,1.204141,0.763265,0.00150000
16,1.219956,0.848803,1.173810,0.783673,0.00150000
17,1.176726,0.866900,1.147654,0.793878,0.00150000
18,1.117728,0.883830,1.125764,0.810204,0.00150000
19,1.077837,0.903094,1.110567,0.814286,0.00150000
20,1.026617,0.901926,1.098196,0.824490,0.00150000
21,1.006202,0.910683,1.087313,0.824490,0.00150000
22,1.020889,0.907764,1.079248,0.822449,0.00150000
23,0.942416,0.919440,1.071211,0.830612,0.00150000
24,0.961993,0.924110,1.065253,0.830612,0.00150000
25,0.932411,0.935785,1.057582,0.838776,0.00150000
26,0.915328,0.927612,1.050206,0.842857,0.00150000
27,0.899552,0.943374,1.043097,0.844898,0.00150000
28,0.856244,0.942207,1.036198,0.846939,0.00150000
29,0.888133,0.942207,1.030344,0.857143,0.00150000
30,0.833336,0.953882,1.026020,0.863265,0.00150000
31,0.837809,0.943374,1.021241,0.865306,0.00150000
32,0.802151,0.957385,1.016458,0.867347,0.00150000
33,0.799143,0.961471,1.012099,0.871429,0.00150000
34,0.791397,0.952715,1.007761,0.869388,0.00150000
35,0.782419,0.962639,1.003291,0.871429,0.00150000
36,0.764968,0.968476,0.998773,0.867347,0.00150000
37,0.767299,0.963222,0.994124,0.867347,0.00150000
38,0.739740,0.973730,0.988608,0.865306,0.00150000
39,0.724297,0.981319,0.982676,0.865306,0.00150000
40,0.723526,0.979568,0.978058,0.869388,0.00150000
41,0.727400,0.973147,0.972656,0.867347,0.00150000
42,0.715669,0.978400,0.968458,0.867347,0.00150000
43,0.722228,0.974898,0.963992,0.867347,0.00150000
44,0.706817,0.977817,0.959845,0.869388,0.00150000
45,0.700945,0.982487,0.955667,0.871429,0.00150000
46,0.699187,0.980152,0.952536,0.875510,0.00150000
47,0.698824,0.979568,0.948705,0.879592,0.00150000
48,0.696917,0.976649,0.945225,0.881633,0.00150000
49,0.681452,0.985989,0.941345,0.879592,0.00150000
50,0.683796,0.981319,0.937446,0.879592,0.00150000
